NOAA_FIP,NOAA_Zone,County,FIP,Latitude,Longitude,Zone,Begin_Date
006,San Francisco,San Francisco,075,37.7558,-122.4423,,
013,Shasta Lake Area / Northern Shasta County,Shasta,089,40.9299,-122.2247,SHASTA LAKE/NORTH SHASTA COUNTY (ZONE),08/01/2018
013,Shasta Lake Area / Northern Shasta County,Shasta,089,40.9299,-122.2247,SHASTA LAKE/NORTH SHASTA COUNTY (ZONE),09/05/2018
014,Burney Basin / Eastern Shasta County,Shasta,089,40.9423,-121.4882,BURNEY BASIN/EASTERN SHASTA COUNTY (ZONE),08/02/2014
015,Northern Sacramento Valley,Shasta,089,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),09/09/2013
015,Northern Sacramento Valley,Shasta,089,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),06/09/2018
015,Northern Sacramento Valley,Shasta,089,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),07/23/2018
015,Northern Sacramento Valley,Shasta,089,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),08/22/2019
015,Northern Sacramento Valley,Tehama,103,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),09/09/2013
015,Northern Sacramento Valley,Tehama,103,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),06/09/2018
015,Northern Sacramento Valley,Tehama,103,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),07/23/2018
015,Northern Sacramento Valley,Tehama,103,40.2198,-122.2949,NORTHERN SACRAMENTO VALLEY (ZONE),08/22/2019
016,Central Sacramento Valley,Butte,007,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Butte,007,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Butte,007,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Butte,007,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
016,Central Sacramento Valley,Colusa,011,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Colusa,011,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Colusa,011,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Colusa,011,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
016,Central Sacramento Valley,Glenn,021,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Glenn,021,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Glenn,021,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Glenn,021,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
016,Central Sacramento Valley,Nevada,057,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Nevada,057,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Nevada,057,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Nevada,057,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
016,Central Sacramento Valley,Sutter,101,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Sutter,101,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Sutter,101,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Sutter,101,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),07/07/2017
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),08/29/2017
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),10/08/2017
016,Central Sacramento Valley,Yuba,115,39.3764,-121.926,CENTRAL SACRAMENTO VALLEY (ZONE),06/09/2018
