State,NOAA_FIP,drop1,NOAA_Zone,drop2,County,FIP,drop3,drop4,Latitude,Longitude
CA,006,MTR,San Francisco,CA006,San Francisco,06075,P,ww,37.7558,-122.4423
CA,013,STO,Shasta Lake Area / Northern Shasta County,CA013,Shasta,06089,P,nn,40.9299,-122.2247
CA,014,STO,Burney Basin / Eastern Shasta County,CA014,Shasta,06089,P,nn,40.9423,-121.4882
CA,015,STO,Northern Sacramento Valley,CA015,Shasta,06089,P,nn,40.2198,-122.2949
CA,015,STO,Northern Sacramento Valley,CA015,Tehama,06103,P,nn,40.2198,-122.2949
CA,016,STO,Central Sacramento Valley,CA016,Butte,06007,P,nn,39.3764,-121.9260
CA,016,STO,Central Sacramento Valley,CA016,Colusa,06011,P,cc,39.3764,-121.9260
CA,016,STO,Central Sacramento Valley,CA016,Glenn,06021,P,nn,39.3764,-121.9260
CA,016,STO,Central Sacramento Valley,CA016,Nevada,06057,P,cc,39.3764,-121.9260
CA,016,STO,Central Sacramento Valley,CA016,Sutter,06101,P,cc,39.3764,-121.9260
CA,016,STO,Central Sacramento Valley,CA016,Yuba,06115,P,cc,39.3764,-121.9260
CA,017,STO,Southern Sacramento Valley,CA017,Amador,06005,P,cc,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,El Dorado,06017,P,cc,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,Placer,06061,P,cc,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,Sacramento,06067,P,cc,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,Solano,06095,P,ww,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,Sutter,06101,P,cc,38.6268,-121.5625
CA,017,STO,Southern Sacramento Valley,CA017,Yolo,06113,P,cc,38.6268,-121.5625
CA,018,STO,Carquinez Strait and Delta,CA018,Sacramento,06067,P,cc,38.1432,-121.7623
CA,018,STO,Carquinez Strait and Delta,CA018,San Joaquin,06077,P,cc,38.1432,-121.7623
CA,018,STO,Carquinez Strait and Delta,CA018,Solano,06095,P,ww,38.1432,-121.7623
CA,019,STO,Northern San Joaquin Valley,CA019,Amador,06005,P,cc,37.7581,-121.0410
CA,019,STO,Northern San Joaquin Valley,CA019,Calaveras,06009,P,cc,37.7581,-121.0410
CA,019,STO,Northern San Joaquin Valley,CA019,San Joaquin,06077,P,cc,37.7581,-121.0410
CA,019,STO,Northern San Joaquin Valley,CA019,Stanislaus,06099,P,cc,37.7581,-121.0410
CA,019,STO,Northern San Joaquin Valley,CA019,Tuolumne,06109,P,cc,37.7581,-121.0410
CA,034,LOX,San Luis Obispo County Central Coast,CA034,San Luis Obispo,06079,P,sw,35.3270,-120.7407
CA,035,LOX,Santa Barbara County Central Coast,CA035,Santa Barbara,06083,P,sw,34.7217,-120.4263
CA,036,LOX,Santa Ynez Valley,CA036,Santa Barbara,06083,P,sw,34.6833,-120.0816
CA,037,LOX,San Luis Obispo County Interior Valleys,CA037,San Luis Obispo,06079,P,sw,35.4918,-120.3516
CA,038,LOX,Cuyama Valley,CA038,Santa Barbara,06083,P,sw,34.9422,-119.7374
CA,039,LOX,Santa Barbara County South Coast,CA039,Santa Barbara,06083,P,sw,34.4568,-119.9036
CA,040,LOX,Ventura County Coast,CA040,Ventura,06111,P,sw,34.2181,-119.1214
CA,041,LOX,Los Angeles County Coast including Downtown Los Angeles,CA041,Los Angeles,06037,P,sw,33.9281,-118.3004
CA,043,SGX,San Diego County Coastal Areas,CA043,San Diego,06073,P,sw,32.9783,-117.2367
CA,044,LOX,Ventura County Interior Valleys,CA044,Ventura,06111,P,sw,34.3941,-119.1198
CA,045,LOX,Ventura County Coastal Valleys,CA045,Ventura,06111,P,sw,34.2538,-118.8399
CA,046,LOX,Santa Monica Mountains Recreational Area,CA046,Los Angeles,06037,P,sw,34.0839,-118.6898
CA,048,SGX,San Bernardino and Riverside County Valleys -The Inland Empire,CA048,Riverside,06065,P,ss,33.8486,-117.2412
CA,048,SGX,San Bernardino and Riverside County Valleys -The Inland Empire,CA048,San Bernardino,06071,P,ss,33.8486,-117.2412
CA,050,SGX,San Diego County Valleys,CA050,San Diego,06073,P,sw,33.0047,-116.9604
CA,051,LOX,San Luis Obispo County Mountains,CA051,San Luis Obispo,06079,P,sw,35.1415,-120.0448
CA,052,LOX,Santa Barbara County Mountains,CA052,Santa Barbara,06083,P,sw,34.7466,-119.8211
CA,053,LOX,Ventura County Mountains,CA053,Ventura,06111,P,sw,34.6292,-119.1351
CA,054,LOX,Los Angeles County Mountains excluding the Santa Monica Range,CA054,Los Angeles,06037,P,sw,34.4294,-118.2230
CA,055,SGX,San Bernardino County Mountains,CA055,San Bernardino,06071,P,ss,34.2304,-117.0957
CA,056,SGX,Riverside County Mountains,CA056,Riverside,06065,P,ss,33.6600,-116.6434
CA,057,SGX,Santa Ana Mountains and Foothills,CA057,Orange,06059,P,sw,33.6256,-117.4550
CA,057,SGX,Santa Ana Mountains and Foothills,CA057,Riverside,06065,P,ss,33.6256,-117.4550
CA,057,SGX,Santa Ana Mountains and Foothills,CA057,San Diego,06073,P,sw,33.6256,-117.4550
CA,058,SGX,San Diego County Mountains,CA058,San Diego,06073,P,sw,33.0713,-116.5324
CA,059,LOX,Antelope Valley,CA059,Los Angeles,06037,P,sw,34.6664,-118.0679
CA,060,SGX,Apple and Lucerne Valleys,CA060,San Bernardino,06071,P,ss,34.5427,-117.0143
CA,061,SGX,Coachella Valley,CA061,Riverside,06065,P,ss,33.7424,-116.3024
CA,062,SGX,San Diego County Deserts,CA062,San Diego,06073,P,sw,33.0511,-116.2536
CA,063,STO,Mountains Southwestern Shasta County to Western Colusa County,CA063,Colusa,06011,P,cc,39.8175,-122.7565
CA,063,STO,Mountains Southwestern Shasta County to Western Colusa County,CA063,Glenn,06021,P,nn,39.8175,-122.7565
CA,063,STO,Mountains Southwestern Shasta County to Western Colusa County,CA063,Shasta,06089,P,nn,39.8175,-122.7565
CA,063,STO,Mountains Southwestern Shasta County to Western Colusa County,CA063,Tehama,06103,P,nn,39.8175,-122.7565
CA,065,SGX,San Gorgonio Pass Near Banning,CA065,Riverside,06065,P,ss,33.7185,-115.2342
CA,066,STO,Northeast Foothills/Sacramento Valley,CA066,Butte,06007,P,nn,40.1117,-121.7566
CA,066,STO,Northeast Foothills/Sacramento Valley,CA066,Shasta,06089,P,nn,40.1117,-121.7566
CA,066,STO,Northeast Foothills/Sacramento Valley,CA066,Tehama,06103,P,nn,40.1117,-121.7566
CA,067,STO,Motherlode,CA067,Amador,06005,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,Calaveras,06009,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,El Dorado,06017,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,Nevada,06057,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,Placer,06061,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,Tuolumne,06109,P,cc,38.6192,-120.7698
CA,067,STO,Motherlode,CA067,Yuba,06115,P,cc,38.6192,-120.7698
CA,068,STO,Western Plumas County/Lassen Park,CA068,Butte,06007,P,nn,40.1971,-121.3501
CA,068,STO,Western Plumas County/Lassen Park,CA068,Lassen,06035,P,nn,40.1971,-121.3501
CA,068,STO,Western Plumas County/Lassen Park,CA068,Plumas,06063,P,nn,40.1971,-121.3501
CA,068,STO,Western Plumas County/Lassen Park,CA068,Shasta,06089,P,nn,40.1971,-121.3501
CA,068,STO,Western Plumas County/Lassen Park,CA068,Tehama,06103,P,nn,40.1971,-121.3501
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Alpine,06003,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Amador,06005,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Calaveras,06009,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,El Dorado,06017,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Nevada,06057,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Placer,06061,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Sierra,06091,P,nn,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Tuolumne,06109,P,cc,38.7829,-120.3423
CA,069,STO,West Slope Northern Sierra Nevada,CA069,Yuba,06115,P,cc,38.7829,-120.3423
CA,070,REV,Surprise Valley California,CA070,Modoc,06049,P,nn,41.6116,-120.0862
CA,071,REV,Lassen-Eastern Plumas-Eastern Sierra Counties,CA071,Lassen,06035,P,nn,40.4660,-120.5471
CA,071,REV,Lassen-Eastern Plumas-Eastern Sierra Counties,CA071,Plumas,06063,P,nn,40.4660,-120.5471
CA,071,REV,Lassen-Eastern Plumas-Eastern Sierra Counties,CA071,Sierra,06091,P,nn,40.4660,-120.5471
CA,072,REV,Greater Lake Tahoe Area,CA072,Alpine,06003,P,cc,38.9481,-119.9683
CA,072,REV,Greater Lake Tahoe Area,CA072,El Dorado,06017,P,cc,38.9481,-119.9683
CA,072,REV,Greater Lake Tahoe Area,CA072,Nevada,06057,P,cc,38.9481,-119.9683
CA,072,REV,Greater Lake Tahoe Area,CA072,Placer,06061,P,cc,38.9481,-119.9683
CA,073,REV,Mono,CA073,Mono,06051,P,cc,37.9390,-118.8867
CA,080,MFR,Western Siskiyou County,CA080,Siskiyou,06093,P,nn,41.5562,-123.1641
CA,081,MFR,Central Siskiyou County,CA081,Siskiyou,06093,P,nn,41.7362,-122.5631
CA,082,MFR,South Central Siskiyou County,CA082,Siskiyou,06093,P,nn,41.2704,-122.1846
