EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
234746,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE), ,05/20/2010,1213,Wildfire, , ,0,0,0,0,CA,PST-8, ,40345,Z,48,SGX,1,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The McKinley Fire began at approximately 1213 PST on May 20th near the intersection of September Way and April Drive in Home Gardens, near Corona, California. The fire was started by mowing equipment and quickly spread towards the southeast. No homes or other structures were threatened. The fire grew to 1,028 acres before being contained around 0500 PST on the 21st. One firefighter sustained a minor ankle injury while fighting the blaze. No other damage or injuries were reported.",1
250167,SAN DIEGO COUNTY COASTAL AREAS (ZONE), ,07/13/2010,830,Wildfire, , ,0,0,0,0,CA,PST-8, ,42906,Z,43,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Camp Pendleton Fire began at approximately 0823 PST on July 13th at the Camp Pendleton Marine Base, California. The fire started due to training exercises at the base on the southwest range. No structures were damages and no injuries occurred. The fire grew to 3500+ acres before being contained around 1700 PST on the 14th.",2
250175,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE), ,07/15/2010,1000,Wildfire, , ,0,1,17500,0,CA,PST-8, ,42912,Z,48,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Stetson Fire began at approximately 1000 PST on July 15th near the intersection of Stetson Avenue and Stanford, near East Hemet, California. The cause of the fire is unknown. The fire burned 0.5 acres before being contained around 1124 the same day. Two homes had minor exterior damage, with one outbuilding and a playhouse destroyed. An adult male was treated on the scene for difficulty in breathing and declined transport to a medical facility. No other damage or injuries were reported.",3
250169,RIVERSIDE COUNTY MOUNTAINS (ZONE), ,07/15/2010,1400,Wildfire, , ,0,0,0,0,CA,PST-8, ,42907,Z,56,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Cactus Fire began at approximately 1400 PST on July 15th near the intersection of Red Mountain road and Owl Creek, near the city of Sage, California. The fire, along with a few other small fires in the Sage-Anza-Pinyon area, was started by lightning and burned a total of 706 acres before being contained at 0600 PST on the 18th. Mandatory evacuations of the residents of Cactus Valley and R3, Limb Road and Old Ranch Road were ordered around 1930 PST on the 15th. Residents were not allowed back into the area until the night of the 18th. No damage or injuries were reported with this fire.",4
250171,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE), ,07/15/2010,1442,Wildfire, , ,0,0,0,0,CA,PST-8, ,42909,Z,48,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Skinner Fire began at approximately 1442 PST on July 15th near the intersection of Crown Valley Road and De Portola Road near the city of Temecula, California. The fire was started by lightning and grew quickly to 200 acres within a few hours. Residents in the area were evacuated and allowed to return to their homes around 2100 PST on the 15th. The fire grew to 503 acres before being contained around 0600 PST on the 18th. No damage or injuries were reported with this fire.",5
250178,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE), ,07/15/2010,1447,Wildfire, , ,0,0,8000,0,CA,PST-8, ,42913,Z,48,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Saddle Fire began at approximately 1447 PST on July 15th near the intersection of Oak Glen Road and Red Mountain Road, near the city of Sage, California. The exact cause of the fire is not listed, however, multiple lighting-caused fires occurred in this area on the 15th. The Saddle Fire burned 80 acres before being contained around 0600 PST on the 18th. An evacuation order was issued at the onset of the fire, with residents being allowed back to their homes at 2100 PST on the 15th. One outbuilding was damaged. No other injuries or damage were reported.",6
250163,SAN BERNARDINO AND RIVERSIDE COUNTY VALLEYS - THE INLAND EMPIRE (ZONE), ,07/17/2010,1038,Wildfire, , ,0,1,0,0,CA,PST-8, ,42899,Z,48,SGX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Maywood Fire began at approximately 1038 PST on July 17th near the intersection of Santa Rosa Mine Road and Christmas Tree Lane in Good Hope, near Perris, California. The cause of the fire is yet unknown, but was contained around 1545 PST on the same day. Two firefighters were evaluated by paramedics for heat-related injuries.",7
254582,TULARE CTY MTNS (ZONE), ,07/26/2010,1246,Wildfire, , ,0,0,0,0,CA,PST-8, ,43793,Z,97,HNX,0,0,Park/Forest Service, , , , , , , , , , , , ,"","The Bull wildfire occurred in Sequoia National Forest. The ignition date was 7/26/10 at   1346 PDT. The cause was human. The location was 8 miles North of Kernville, CA in both Kern County and Tulare County. The size was 16,442 acres and full containment was estimated on 8/10/10. There were no fatalities. There were 8 primary and 6 outbuildings lost to the fire. The cost was estimated on 8/5/10 at $10,991,701.||The West wildfire was managed by the Kern County Fire Department. The ignition date was 7/27/10 at 1416 PDT. The cause was human. The location was 5 miles south of Tehachapi, CA in Kern County. The size was 1658 acres. Containment occurred on 8/1/10. No fatalities occurred. There were 23 primary and 41 outbuildings lost to the fire. Cost was $6,543,253.",8
254581,KERN CTY MTNS (ZONE), ,07/26/2010,1246,Wildfire, , ,0,0,0,0,CA,PST-8, ,43793,Z,95,HNX,0,0,Park/Forest Service, , , , , , , , , , , , ,"","The Bull wildfire occurred in Sequoia National Forest. The ignition date was 7/26/10 at   1346 PDT. The cause was human. The location was 8 miles North of Kernville, CA in both Kern County and Tulare County. The size was 16,442 acres and full containment was estimated on 8/10/10. There were no fatalities. There were 8 primary and 6 outbuildings lost to the fire. The cost was estimated on 8/5/10 at $10,991,701.||The West wildfire was managed by the Kern County Fire Department. The ignition date was 7/27/10 at 1416 PDT. The cause was human. The location was 5 miles south of Tehachapi, CA in Kern County. The size was 1658 acres. Containment occurred on 8/1/10. No fatalities occurred. There were 23 primary and 41 outbuildings lost to the fire. Cost was $6,543,253.",9
254583,KERN CTY MTNS (ZONE), ,07/27/2010,1316,Wildfire, , ,0,0,0,0,CA,PST-8, ,43793,Z,95,HNX,0,0,Fire Department/Rescue, , , , , , , , , , , , ,"","The Bull wildfire occurred in Sequoia National Forest. The ignition date was 7/26/10 at   1346 PDT. The cause was human. The location was 8 miles North of Kernville, CA in both Kern County and Tulare County. The size was 16,442 acres and full containment was estimated on 8/10/10. There were no fatalities. There were 8 primary and 6 outbuildings lost to the fire. The cost was estimated on 8/5/10 at $10,991,701.||The West wildfire was managed by the Kern County Fire Department. The ignition date was 7/27/10 at 1416 PDT. The cause was human. The location was 5 miles south of Tehachapi, CA in Kern County. The size was 1658 acres. Containment occurred on 8/1/10. No fatalities occurred. There were 23 primary and 41 outbuildings lost to the fire. Cost was $6,543,253.",10
