County,2010 Fires,2010 Pop.,2011 Fires,2011 Pop.,2012 Fires,2012 Pop.,2013 Fires,2013 Pop.,2014 Fires,2014 Pop.,2015 Fires,2015 Pop.,2016 Fires,2016 Pop.,2017 Fires,2017 Pop.,2018 Fires,2018 Pop.,2019 Fires,2019 Pop.
Alameda,0,1477980,0,1494876,0,1515136,0,1535248,0,1559308,0,1584983,0,1605217,0,1629615,0,1643700,0,1656754
Alpine,0,1176,0,1167,0,1197,0,1165,0,1202,0,1131,0,1184,0,1203,0,1146,0,1039
Amador,0,38327,0,38244,0,37764,3,37422,2,37159,5,36995,2,36963,1,37306,1,37829,3,38429
Butte,0,218635,0,219309,0,220101,0,220542,0,221578,0,222564,0,223877,0,225207,0,227075,0,225817
Calaveras,0,45994,0,45794,0,45507,0,45147,0,44921,0,44767,0,44787,0,45057,0,45235,0,45514
Colusa,0,21165,0,21297,0,21329,0,21366,0,21424,0,21396,0,21361,0,21479,0,21464,0,21454
Contra Costa,0,1024809,0,1037817,0,1052047,0,1065794,0,1081232,0,1096068,0,1107925,0,1123678,0,1133247,0,1142251
Del Norte,0,28471,0,28561,0,28496,0,28357,0,28066,0,27788,0,27628,0,27442,0,27424,0,27495
El Dorado,0,179053,0,179878,0,180441,3,180982,2,181465,5,182093,2,183000,2,185015,1,186661,2,188563
Fresno,0,908830,0,920623,0,930517,0,939605,0,948844,0,956749,0,963160,0,971616,0,978130,0,984521
Glenn,0,27935,0,28027,0,28078,0,28054,0,28019,0,28029,0,27976,0,27935,0,27897,0,27976
Humboldt,0,133058,0,133585,0,134317,0,134613,0,134876,0,135034,0,135182,0,135490,0,135768,0,135940
Imperial,0,168052,0,171343,0,173487,0,175201,0,177026,0,178206,0,178807,0,179957,0,180216,0,180701
Inyo,0,18434,0,18457,0,18474,0,18482,0,18439,0,18373,0,18326,0,18195,0,18085,0,17977
Kern,0,815693,0,829254,0,839153,0,848204,0,857730,0,865736,0,871337,0,878744,0,883053,0,887641
Kings,0,151122,0,152335,0,151982,0,151806,0,151390,0,150998,0,150261,0,150183,0,150075,0,150691
Lake,0,64371,0,64392,0,64360,0,64260,0,64209,0,64158,0,64076,0,64095,0,64148,0,64195
Lassen,0,35081,0,35001,0,34628,0,34018,0,33356,0,32645,0,31945,0,31470,0,31185,0,30818
Los Angeles,0,9758256,0,9787747,0,9840024,4,9893481,2,9974203,0,10038388,5,10057155,1,10105722,4,10098052,6,10081570
Madera,0,147738,0,149611,0,150615,0,151435,0,152452,0,153187,0,153366,0,154440,0,155013,0,155433
Marin,0,248601,0,250666,0,252759,0,254643,0,256802,0,258349,0,259358,0,260814,0,260295,0,259943
Mariposa,0,18290,0,18290,0,18193,0,18061,0,17946,0,17789,0,17645,0,17658,0,17540,0,17420
Mendocino,0,87487,0,87525,0,87577,0,87497,0,87612,0,87544,0,87409,0,87497,0,87422,0,87224
Merced,0,250699,0,253606,0,256398,0,258707,0,261609,0,263885,0,265001,0,267390,0,269075,0,271382
Modoc,0,9605,1,9587,2,9545,0,9468,4,9335,2,9184,2,9033,4,9017,1,8938,3,8907
Mono,0,13905,0,14016,0,14181,0,14217,0,14193,0,14146,0,14051,0,14058,0,14174,0,14310
Monterey,0,407435,0,411385,0,416199,0,420569,0,424927,0,428441,0,430201,0,433168,0,433212,0,433410
Napa,0,134051,0,135377,0,136644,0,137837,0,139253,0,140295,0,140823,0,141005,0,140530,0,139623
Nevada,0,98186,0,98392,0,98521,3,98509,2,98606,4,98570,2,98639,5,98838,2,99092,1,99244
Orange,0,2965525,0,2989948,0,3021840,0,3051771,0,3086331,0,3116069,0,3132211,0,3155816,0,3164182,0,3168044
Placer,0,336477,0,343554,0,350074,3,355924,2,361518,5,366280,2,370571,2,374985,1,380077,2,385512
Plumas,0,20392,0,20192,0,19926,0,19586,0,19286,0,18966,0,18754,0,18724,0,18699,0,18660
Riverside,8,2109464,2,2154844,6,2192982,6,2228528,4,2266899,0,2298032,1,2323892,2,2355002,6,2383286,10,2411439
Sacramento,0,1395144,0,1408480,0,1422348,0,1435207,0,1450277,0,1465832,0,1479300,0,1495400,0,1510023,0,1524553
